Speaker,Block,Position,Word,POA,V,Rep,V1,C,V2,v1F2_1,v1F2_2,v1F2_3,v1F2_4,v1F2_5,v1F3_1,v1F3_2,v1F3_3,v1F3_4,v1F3_5,v2F2_1,v2F2_2,v2F2_3,v2F2_4,v2F2_5,v2F3_1,v2F3_2,v2F3_3,v2F3_4,v2F3_5
M08,1,VC,pooSincukoogala,retroflex,o,rep1,o,S,i,895.2,936.8,1050.3,1179.6,1433.7,2631,2619.5,2563.8,2557.2,2502.7,2138.8,2130.2,2126.6,2109.2,2078,3164.2,2901.2,2755.7,2758.8,2763.9
M08,1,VC,pooSincukoogala,retroflex,o,rep2,o,S,i,898.3,964.2,1059.8,1155,1272,2610.6,2623.2,2606.9,2510,2567.8,2319.7,2212.2,2244.2,2244.6,2233.5,2978.1,3072,2973.5,2985.6,3022.1
M08,1,VC,poosinaTlugaa,alveolar,o,rep1,o,s,i,881.8,909.6,1019.9,1118.1,1332.7,2759.7,2706,2658.4,2663.1,2659.3,1946.2,2052.4,2102.9,2094.4,2101.5,2421.2,2522.8,2536,2531.8,2547.3
M08,1,VC,poosinaTlugaa,alveolar,o,rep2,o,s,i,838.8,893.4,1025,1187.7,1339.8,2984.3,3297.6,2862.4,2787.7,2551.8,1672.1,2256.5,2220.4,2220.4,2232.9,2402.9,2801.5,2793,2793.3,2824.9
M08,1,VC,praasatoo,alveolar,a,rep1,a,s,a,1239.3,963.3,1037.8,1248.6,1239.6,3305,2684.4,2611.6,3293.2,3185.6,1431,1400,1400.8,1396.2,1379.3,3219.8,3144.3,3171.9,3198.6,3203.6
M08,1,VC,praasatoo,alveolar,a,rep2,a,s,a,1350.9,976.6,1353.6,1403.7,1533,3544.5,1990.7,3343.8,3200.2,3299.5,1391.6,1410.1,1374,1164.6,870,3133.4,3167.2,3157.6,3194.9,3188.8
M08,1,VC,prakaaS,retroflex,a,rep1,a,S,NA,1247.7,1381.2,1321.6,1534.5,1808.6,2270.4,2832.5,2538.5,3232,3191.7,0,0,0,0,0,0,0,0,0,0
M08,1,VC,prakaaS,retroflex,a,rep2,a,S,NA,1194.7,1175,1538.6,1690.1,1774.2,2479.5,2523.2,3353.6,3167.9,3161.3,0,0,0,0,0,0,0,0,0,0
M08,1,VC,prakaashincindi,palatal,a,rep1,a,sh,i,1535.6,1541.4,1644.4,1734.8,1613.5,3234.1,2437.9,2537.8,3091.9,3034.6,2399.1,2509.1,2447.1,2383.7,2275.3,2860,3180.2,3397.6,3438.7,3508.3
M08,1,VC,prakaashincindi,palatal,a,rep2,a,sh,i,1554.5,1573.2,1609.5,1684.4,1811.6,2692.9,2492.2,2005.4,3197.3,3162.7,2643.8,2631.3,2554.1,2499.3,2405.4,3037.7,3117,3292,3218.7,3101.8
M08,1,VC,raakaasi,alveolar,a,rep1,a,s,i,1286,1368.3,1443,1635.2,1799.8,2910,2913.1,2889,3043.4,3216.3,2319.6,2355.4,2299.5,2344.2,2361.9,2753,2799.6,2840.9,2861.7,2939.7
M08,1,VC,raakaasi,alveolar,a,rep2,a,s,i,1430.9,1458.3,1515,1561.3,1618.7,2790.7,2799.7,3025.6,2970.5,2974.9,2397.9,2504.9,2458.1,2525.7,2507.3,2881.5,2885.7,2954.2,3032.1,2979.3
M08,1,VC,raasaliila,alveolar,a,rep1,a,s,a,906,1080.5,1230.4,1276.1,1424.4,2792.4,1739.6,3566.4,3275.8,3203.5,1383.8,1398,1457.5,1449,1389.6,3078.2,3040.1,3011.3,3046.7,3025.4
M08,1,VC,raasaliila,alveolar,a,rep2,a,s,a,1395.6,1521,1455.3,1331.5,1487.7,3221.2,3324.8,3231.2,3108.7,3144.3,1476.5,1522,1552.7,1606.4,1603.9,3072.6,2997.4,3069.4,3072.5,3041.4
M08,1,VC,raaseevaaDu,alveolar,a,rep1,a,s,e,1340.5,1413.9,1452.3,1489.5,1546.8,1522.5,3552.6,2874.3,3082.9,3279.6,1974.7,2012.3,2082.9,2162.2,1610.8,2846.3,2869.6,2985.3,3100.4,2169.2
M08,1,VC,raaseevaaDu,alveolar,a,rep2,a,s,e,1206.9,1357.4,1429.3,1507.3,1362.3,2921.4,3269.1,1893.2,3492.8,3300.8,2001,1812.7,2280.5,2188.9,2252.9,2848.3,2622.6,2755.4,2861,2873.3
M08,1,VC,revinyuushaakha,palatal,u,rep1,u,sh,a,1337.3,1360.3,1392.3,1450.1,1469.1,2486.6,2625,2685.5,2655.8,2744.4,1564,1585.8,1618.7,1588,1582.5,2620,2965.7,3066.7,2945.5,2872
M08,1,VC,revinyuushaakha,palatal,u,rep2,u,sh,a,1505.6,1492.1,1490.5,1658.5,1625.1,2559.1,2619.6,2624.9,2649,2662.1,1522.2,1570.6,1593.8,1529.8,1534.6,2865,2981.5,3057.5,2884.8,2889.5
M08,1,VC,tamaaSaa,retroflex,a,rep1,a,S,a,1357.7,1409.4,1515.1,1729.1,1785,2935.2,3254.6,3359.2,3137.9,3124,1394.6,1471.8,1511.2,1460.1,1387,2836.5,3132.1,3140.4,3209.5,3195.2
M08,1,VC,tamaaSaa,retroflex,a,rep2,a,S,a,1333.4,1407.1,1443.8,1498.9,1829,2845.8,2773.5,1973.9,2013.8,3107,1617,1579.1,1539,1517.7,1493.1,2530,3097.2,3031.9,3125.2,3208.8
M08,1,VC,tamaaSaagaa,retroflex,a,rep1,a,S,a,1050.7,1413.4,1495,1377.1,1933.3,1613.7,2345.9,2174.5,1698.6,3385.4,1372.2,1430.9,1437.7,1402.9,1398.4,2802,2479.4,2265.2,2667.8,3093.5
M08,1,VC,tamaaSaagaa,retroflex,a,rep2,a,S,a,1322.6,1354,1423.4,1554.2,1751.7,2977.5,3025,2391.5,1929.9,3288.4,1338.3,1488.5,1480.9,1436.2,1411.9,2761,2605.9,2078.2,1959.8,3458.5
M08,1,VC,telugubhaaSaloo,retroflex,a,rep1,a,S,a,1260.8,1292,1401.2,1179.1,1764.3,2797.3,2740.5,2851.4,2232.2,3145.2,1326.8,1429.4,1443.9,1536.5,1201,2420.5,2915.4,2481.1,2916.1,2826.9
M08,1,VC,telugubhaaSaloo,retroflex,a,rep2,a,S,a,721.8,923.8,1770.3,1758.2,1763.2,2558.2,2557.6,3514.3,3431.1,3090.3,1687.7,1358.4,1128.6,1647.7,1388.6,2988.5,2629.7,2888.4,2984.6,2927.2
M08,1,VC,tiishaaraa,palatal,i,rep1,i,sh,a,2597.4,2416.2,2347.1,2350.2,2404,2965.7,2954.4,2965.8,2963.5,2660.4,1604.1,1548.5,1497.2,1443.9,1466,2861.1,2827,2836.5,2854.8,2852.6
M08,1,VC,tiishaaraa,palatal,i,rep2,i,sh,a,2339.4,2508,2339,2414.1,2386.3,3193.1,3102.1,3345.5,3090.6,2920.1,1432.9,1522.4,1455.4,1386,1412.4,2859.6,2987.9,2954,2846.1,2850.5
M08,1,VC,uritiisi,alveolar,i,rep1,i,s,i,2339.4,2276.5,2323.6,2242.9,2264.1,2791.3,2776.4,2675.4,2720.5,2558.1,2240.4,2356.9,2484.1,2377.7,2396.5,2787.6,2778.4,2809.2,2832.8,2899.6
M08,1,VC,uritiisi,alveolar,i,rep2,i,s,i,2386.1,2417.8,2399.5,2442.5,2330.4,2912.6,2969.9,2969.9,2882.1,2808,2344,2276,2333.3,2401.2,2367.6,2727.6,2804.6,2852.4,2903.4,2885.2
M08,1,VC,uusindi,alveolar,u,rep1,u,s,i,833.5,866,900.3,1045.6,1208.4,2555.3,2465,2486.2,2741.4,2700.8,2103.7,2166.6,2188.7,2196.4,2237.2,2604.5,2724.7,2786.2,2797.7,2825.3
M08,1,VC,uusindi,alveolar,u,rep2,u,s,i,849.4,866.4,981.7,1122.2,1290.6,2636.8,2698,2750.9,2806.3,2730.5,2308.5,2126.8,2174.8,2320,2339.3,2421.8,2494.9,2593.9,2537.4,2901.7
M08,1,VC,vaDapoosi,alveolar,o,rep1,o,s,i,897.9,996.4,1138.3,1281.4,1410.7,2801.7,2688.2,2618.3,2780.5,2849.5,2275,2319.1,2425.6,2489.5,2538.3,2803.4,2846.6,2981.1,3103.2,3088.3
M08,1,VC,vaDapoosi,alveolar,o,rep2,o,s,i,984.2,1055.6,1200.4,1345.1,1463.5,3059.3,2942.1,3122.4,3109.4,2842.9,2285.8,2258,2300,2320.2,2492.6,2978.8,3479.2,3253.8,3124.5,3037.4
M08,1,VC,veesaviloo,alveolar,e,rep1,e,s,a,2134.4,2114.9,2045,2043.8,2026.8,2818,3269.7,2874.3,2938.8,2976.2,1420.1,1518.9,1535.6,1542.5,1567.3,2810,3038.7,3213.9,2993.8,2477.6
M08,1,VC,veesaviloo,alveolar,e,rep2,e,s,a,2087.7,2063.5,2008.3,1949.7,2036.8,2891.4,2815.6,2772.9,2531.5,2830.8,1532.1,1576.5,1587.2,1564.8,1582.6,2995.3,3060.1,2896.1,2911.9,2864.9
M08,1,VC,vinyaasaalatoo,alveolar,a,rep1,a,s,a,1634.1,1606.5,1612.7,1690.6,1669.7,3317.1,3321.4,3266.1,3239.2,3100.5,1508.9,1426,1248.1,1374.5,1386,2951.1,2963.3,3058.9,3064.2,3069
