Vowel	Ceiling	F2	F3
uu	5400	987.5	3049.8
uu	5500	988.9	3056.1
uu	5600	990.5	3071.3
uu	5700	992.6	3091.1
uu	5800	995.0	3115.6
uu	5900	997.5	3142.4
uu	6000	1000.0	3172.3
uu	6100	1002.6	3204.0
uu	6200	1004.7	3240.6
uu	6300	1005.6	3282.7
uu	6400	1003.6	3345.6
uu	6500	990.1	3447.5
uu	4500	1021.9	1404.7
uu	4600	1046.0	1276.0
uu	4700	1098.3	3205.1
uu	4800	1102.6	3205.7
uu	4900	1087.5	3218.3
uu	5000	1053.5	3233.6
uu	5100	1021.6	3243.8
uu	5200	1006.0	3235.7
uu	5300	1000.7	3205.9
uu	5400	1000.5	3181.7
uu	5500	1002.6	3173.9
uu	5600	1005.5	3176.5
uu	5700	1009.4	3185.4
uu	5800	1013.4	3195.6
uu	5900	1018.5	3213.0
uu	6000	1023.1	3230.9
uu	6100	1026.7	3248.5
uu	6200	1027.6	3270.3
uu	6300	1022.8	3292.3
uu	6400	1006.3	3315.5
uu	6500	940.0	3352.1
aa	4500	1029.8	1854.4
aa	4600	1027.8	1857.7
aa	4700	1024.3	1860.2
aa	4800	1440.3	2508.6
aa	4900	1854.6	3194.7
aa	5000	1840.1	3206.4
aa	5100	1826.6	3207.3
aa	5200	1810.5	3189.2
aa	5300	1806.0	3171.5
aa	5400	1805.6	3157.9
aa	5500	1812.5	3172.8
aa	5600	1821.8	3196.7
aa	5700	1833.0	3226.6
aa	5800	1845.2	3261.7
aa	5900	1857.1	3301.0
aa	6000	1866.5	3344.3
aa	6100	1869.8	3392.8
aa	6200	1859.9	3444.2
aa	6300	1819.7	3511.9
aa	6400	1735.1	2553.7
aa	6500	1592.0	3012.2
aa	4500	1035.5	1812.3
aa	4600	1040.9	1817.5
aa	4700	1040.8	1820.8
aa	4800	1031.5	1817.7
aa	4900	1024.5	1810.8
aa	5000	1798.0	3225.4
aa	5100	1792.8	3225.6
aa	5200	1785.5	3210.7
aa	5300	1786.7	3202.7
aa	5400	1787.4	3195.5
aa	5500	1791.4	3211.1
aa	5600	1794.0	3226.1
aa	5700	1794.9	3248.1
aa	5800	1792.5	3271.8
aa	5900	1785.0	3296.8
aa	6000	1770.6	3321.3
aa	6100	1750.5	3344.0
aa	6200	1730.2	3363.0
aa	6300	1713.7	3375.5
aa	6400	1703.5	3363.3
aa	6500	1699.0	3302.8
aa	4500	1483.8	3304.7
aa	4600	1486.5	3303.0
aa	4700	1488.3	3301.2
aa	4800	1489.8	3303.2
aa	4900	1486.6	3309.0
aa	5000	1485.4	3314.6
aa	5100	1481.5	3319.2
aa	5200	1480.5	3319.3
aa	5300	1480.2	3318.4
aa	5400	1481.0	3317.5
aa	5500	1480.3	3321.4
aa	5600	1475.9	3329.5
aa	5700	1465.7	3340.2
aa	5800	1444.1	3353.3
aa	5900	1407.9	3366.2
aa	6000	1365.6	3377.3
aa	6100	1349.4	3384.3
aa	6200	1346.7	3385.8
aa	6300	1348.1	3378.3
aa	6400	1351.2	3365.3
aa	6500	1353.2	3353.6
aa	4500	1034.4	1680.2
aa	4600	1032.6	1680.5
aa	4700	1678.4	3111.1
aa	4800	1671.0	3118.8
aa	4900	1661.7	3125.5
aa	5000	1655.3	3129.1
aa	5100	1647.9	3128.1
aa	5200	1645.3	3123.9
aa	5300	1646.0	3118.9
aa	5400	1649.3	3122.8
aa	5500	1652.6	3129.3
aa	5600	1655.0	3138.4
aa	5700	1654.6	3151.8
aa	5800	1647.3	3166.6
aa	5900	1628.4	3181.2
aa	6000	1591.0	3192.5
aa	6100	1533.9	3200.8
aa	6200	1484.9	3200.6
aa	6300	1459.7	3183.1
aa	6400	1451.1	3148.7
aa	6500	1449.1	3113.3
aa	4500	993.2	1628.3
aa	4600	993.1	1631.0
aa	4700	1314.6	2386.8
aa	4800	1631.7	3183.4
aa	4900	1629.9	3194.3
aa	5000	1612.9	3213.6
aa	5100	1607.6	3217.2
aa	5200	1595.9	3197.4
aa	5300	1590.8	3189.9
aa	5400	1590.8	3169.4
aa	5500	1595.6	3182.3
aa	5600	1601.6	3209.0
aa	5700	1606.7	3245.0
aa	5800	1608.0	3285.4
aa	5900	1601.3	3328.8
aa	6000	1579.0	3374.5
aa	6100	1531.5	3420.9
aa	6200	1461.0	2803.9
aa	6300	1404.8	2840.4
aa	6400	1379.1	2888.7
aa	6500	1370.1	2919.5
aa	4500	1030.7	1565.4
